step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
34,0.557650625705719,,0,,,,,,,2026-06-18T02:47:22.8070000Z
35,0.5594654083251953,,0,,,,,,,2026-06-18T02:47:36.7710000Z
36,0.6012321710586548,,0,,,,,,,2026-06-18T02:47:50.4280000Z
37,0.6034727096557617,,0,,,,,,,2026-06-18T02:48:04.3940000Z
38,0.5327951312065125,,0,,,,,,,2026-06-18T02:48:21.3560000Z
39,0.5887606143951416,,0,,,,,,,2026-06-18T02:48:35.3070000Z
40,0.5753993988037109,,0,0.5751088261604309,,0,,,,2026-06-18T02:48:53.2150000Z
41,0.4857977032661438,,0,,,,,,,2026-06-18T02:49:06.7800000Z
42,0.5620412230491638,,0,,,,,,,2026-06-18T02:49:20.4040000Z
43,0.606639564037323,,0,,,,,,,2026-06-18T02:49:34.0450000Z
44,0.5539698004722595,,0,,,,,,,2026-06-18T02:49:47.9700000Z
45,0.552160382270813,,0,,,,,,,2026-06-18T02:50:01.6000000Z
46,0.5603728294372559,,0,,,,,,,2026-06-18T02:50:15.2280000Z
47,0.5204033255577087,,0,,,,,,,2026-06-18T02:50:28.8580000Z
48,0.5236170887947083,,0,,,,,,,2026-06-18T02:50:42.8470000Z
49,0.6263840794563293,,0,,,,,,,2026-06-18T02:50:56.8680000Z
50,0.6066036820411682,,0,0.5435280203819275,,0,,,,2026-06-18T02:51:15.4340000Z
51,0.5598892569541931,,0,,,,,,,2026-06-18T02:51:28.9780000Z
52,0.6044554114341736,,0,,,,,,,2026-06-18T02:51:42.6060000Z
53,0.5118981599807739,,0,,,,,,,2026-06-18T02:51:56.3090000Z
54,0.48090463876724243,,0,,,,,,,2026-06-18T02:52:09.9460000Z
55,0.536558985710144,,0,,,,,,,2026-06-18T02:52:23.8950000Z
56,0.5007885098457336,,0,,,,,,,2026-06-18T02:52:37.9060000Z
57,0.5522071719169617,,0,,,,,,,2026-06-18T02:52:51.6420000Z
58,0.5170215368270874,,0,,,,,,,2026-06-18T02:53:05.3710000Z
59,0.45059317350387573,,0,,,,,,,2026-06-18T02:53:19.6790000Z
60,0.5555654168128967,,0,0.5346121191978455,,0,,,,2026-06-18T02:53:37.9140000Z
61,0.5165678262710571,,0,,,,,,,2026-06-18T02:53:51.5290000Z
